Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Mor,Severely endangered,25,-2.8607,132.7697,Indonesia
Pisamira,Critically endangered,25,1.0656,-70.4388,Colombia
Sakurabiat,Severely endangered,25,-12.967,-61.2652,Brazil
Surel,Critically endangered,25,27.6969,86.3058,Nepal
Upper Kuskokwim,Critically endangered,25,63.0091,-154.3889,United States of America
Zumaya,Critically endangered,25,10.5323,14.3591,Cameroon
Kashaya,Critically endangered,24,38.6603,-123.3045,United States of America
Kavalan,Critically endangered,24,24.7393,121.6996,China
Wardaman,Severely endangered,24,-14.9925,131.9293,Australia
Washo,Severely endangered,24,38.9226,-119.7256,United States of America
Kuku Yalanji,Severely endangered,23,-15.8148,144.9316,Australia
Sām,Severely endangered,23,27.3595,86.9979,Nepal
Southwestern Tlapanec,Vulnerable,23,16.9629,-99.0953,Mexico
Alawa,Critically endangered,22,-16.4676,134.0771,Australia
Tobian,Critically endangered,22,2.9594,131.8084,Palau
Bara (Brazil),Vulnerable,21,0.3515,-68.9721,Brazil
Ixcatec,Critically endangered,21,17.8493,-97.181,Mexico
Añu,Critically endangered,20,11.022,-71.7352,Venezuela
Barzani Jewish Neo-Aramaic (Israel),Critically endangered,20,31.7888,35.1947,Israel
Bom,Severely endangered,20,7.3188,-11.9915,Sierra Leone
Bundjalung,Severely endangered,20,-28.9998,152.9077,Australia
Chung (Cambodia),Critically endangered,20,10.6875,103.8084,Cambodia
Dusner,Critically endangered,20,-2.7139,134.3888,Indonesia
Forest Enets,Critically endangered,20,68.6836,86.2727,Russia
Foya,Critically endangered,20,-2.4107,138.6996,Indonesia
Hermit,Critically endangered,20,-2.0869,146.9311,Papua New Guinea
Jawoyn,Severely endangered,20,-14.2004,132.55,Australia
Kamasa,Critically endangered,20,-6.95,146.2,Papua New Guinea
Kanakanabu,Critically endangered,20,23.1463,120.6782,China
Kembra,Critically endangered,20,-3.908,140.3942,Indonesia
Kilen,Critically endangered,20,47.4689,133.8574,"China, Russia"
Kim,Critically endangered,20,7.2425,-11.9476,Sierra Leone
Koko Bera,Severely endangered,20,-15.6865,141.5917,Australia
Kulina Páno,Severely endangered,20,-5.6597,-71.5429,Brazil
Leco,Critically endangered,20,-15.586,-67.9064,Bolivia
Loun,Critically endangered,20,-2.8717,128.8366,Indonesia
Mander,Critically endangered,20,-2.4341,138.7284,Indonesia
Mangarla,Critically endangered,20,-20.159,122.6513,Australia
Maringarr,Critically endangered,20,-14.1525,129.6166,Australia
Nataoran,Critically endangered,20,24.0088,121.5898,China
Nez Perce,Critically endangered,20,46.4347,-116.8268,United States of America
Nisvai,Critically endangered,20,-16.4492,167.7117,Vanuatu
Nyamal,Severely endangered,20,-21.4019,119.3225,Australia
Nyikina,Severely endangered,20,-18.2613,124.6179,Australia
Panamint,Critically endangered,20,36.4555,-116.8666,United States of America
Pite Saami,Critically endangered,20,66.0447,17.8857,"Norway, Sweden"
Qawasqar,Critically endangered,20,-49.6391,-74.3554,Chile
Red Gelao (Vietnam),Critically endangered,20,23.1666,105.25,Vietnam
Somyev,Critically endangered,20,6.9318,11.5136,"Cameroon, Nigeria"
Ume Saami,Critically endangered,20,65.1091,18.2153,Sweden
Usku,Critically endangered,20,-3.5449,140.7499,Indonesia
Vote,Critically endangered,20,59.5858,28.4518,Russia
Wajarri,Severely endangered,20,-26.8841,116.6748,Australia
