Country,Name,Status,Speakers,Latitude,Longitude
Russia,Khakas,Definitely endangered,52217,53.7746,90.3735
India,Parji,Critically endangered,51216,18.5629,82.8039
Greece,Arvanitika,Severely endangered,50000,38.1863,23.6096
Russia,Buryat (Cis-Baikal),Severely endangered,50000,52.7961,104.8809
China,Buryat (Manchuria),Definitely endangered,50000,49.8096,119.7509
Mongolia,Buryat (Manchuria),Definitely endangered,50000,49.8096,119.7509
Bhutan,Cuona Menba,Vulnerable,50000,26.8279,95.3623
China,Cuona Menba,Vulnerable,50000,26.8279,95.3623
India,Cuona Menba,Vulnerable,50000,26.8279,95.3623
Vietnam,Eastern Cham,Definitely endangered,50000,10.7833,108.0833
India,Hmar,Vulnerable,50000,24.577,93.3178
China,Huzhu Monguor,Severely endangered,50000,36.7608,102.4255
India,Paite,Vulnerable,50000,24.1968,93.3563
Ecuador,Quichua (Imbabura),Definitely endangered,50000,0.1757,-78.2006
Yemen,Soqotri,Severely endangered,50000,12.5331,53.767
Russia,Southern Altay,Definitely endangered,50000,51.069,86.5942
Romania,Transylvanian Saxon,Severely endangered,50000,46.214,24.2413
Syria,Turoyo,Severely endangered,50000,37.405,41.3745
Turkey,Turoyo,Severely endangered,50000,37.405,41.3745
Estonia,Võro-Seto,Definitely endangered,50000,57.8096,27.29
Russia,Võro-Seto,Definitely endangered,50000,57.8096,27.29
Greenland,West Greenlandic,Vulnerable,50000,64.1681,-51.7236
Turkey,Western Armenian (Turkey),Definitely endangered,50000,41.0213,28.9324
Tanzania,Zaramo,Definitely endangered,50000,-6.922,39.2409
Algeria,Zenatiya,Critically endangered,50000,35.5702,1.8099
Mexico,Papantla Totonac,Definitely endangered,49748,20.4477,-97.32
India,Wancho,Vulnerable,49000,26.9759,95.4656
India,Bhumji,Vulnerable,47000,21.8003,86.8139
China,Cosung (China),Definitely endangered,47000,22.6833,102.6666
Vietnam,Cosung (Vietnam),Definitely endangered,47000,22.6166,102.75
China,Baheng (China),Vulnerable,45000,26.19,110.24
Sudan,Lumun,Definitely endangered,45000,10.8387,30.0338
